Name of the Political Party,Prefix,Denominations,Journal Date,local_node_id,Round
BHARATIYA JANATA PARTY,OC,10000000,2019-05-07,4155,1
BHARATIYA JANATA PARTY,OC,10000000,2019-05-07,4155,1
BHARATIYA JANATA PARTY,OL,100000,2019-10-09,3222,3
BHARATIYA JANATA PARTY,OL,100000,2019-10-09,3222,3
BHARATIYA JANATA PARTY,OC,10000000,2020-10-28,4155,6
BHARATIYA JANATA PARTY,TL,1000000,2020-10-28,4155,6
BHARATIYA JANATA PARTY,TL,1000000,2020-10-28,4155,6
BHARATIYA JANATA PARTY,TL,1000000,2020-10-28,4155,6
BHARATIYA JANATA PARTY,TL,1000000,2020-10-28,4155,6
BHARATIYA JANATA PARTY,TL,1000000,2020-10-28,4155,6
BHARATIYA JANATA PARTY,TL,1000000,2020-10-28,4155,6
BHARATIYA JANATA PARTY,TL,1000000,2020-10-28,4155,6
BHARATIYA JANATA PARTY,TL,1000000,2020-10-28,4155,6
BHARATIYA JANATA PARTY,TL,1000000,2020-10-28,4155,6
BHARATIYA JANATA PARTY,OL,100000,2020-10-28,4155,6
BHARATIYA JANATA PARTY,OL,100000,2020-10-28,4155,6
BHARATIYA JANATA PARTY,OL,100000,2020-10-28,4155,6
BHARATIYA JANATA PARTY,OL,100000,2020-10-28,4155,6
BHARATIYA JANATA PARTY,OL,100000,2020-10-28,4155,6
BHARATIYA JANATA PARTY,OL,100000,2020-10-28,4155,6
BHARATIYA JANATA PARTY,OL,100000,2020-10-28,4155,6
BHARATIYA JANATA PARTY,OL,100000,2020-10-28,4155,6
BHARATIYA JANATA PARTY,OL,100000,2020-10-28,4155,6
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",TL,1000000,2022-11-15,1684,16
YSR  CONGRESS PARTY  (YUVAJANA SRAMIKA RYTHU CONGRESS PARTY),OC,10000000,2023-04-11,3001,20
BHARATIYA JANATA PARTY,OC,10000000,2023-11-17,3161,23
BHARATIYA JANATA PARTY,OC,10000000,2023-11-17,3161,23
BHARATIYA JANATA PARTY,OC,10000000,2023-11-17,3161,23
BHARATIYA JANATA PARTY,OC,10000000,2023-11-17,3161,23
BHARATIYA JANATA PARTY,OC,10000000,2023-11-17,3161,23
BHARATIYA JANATA PARTY,OC,10000000,2023-11-17,3161,23
BHARATIYA JANATA PARTY,OC,10000000,2023-11-17,3161,23
BHARATIYA JANATA PARTY,OC,10000000,2023-11-17,3161,23
BHARATIYA JANATA PARTY,OC,10000000,2023-11-17,3161,23
BHARATIYA JANATA PARTY,OC,10000000,2023-11-17,3161,23
BHARATIYA JANATA PARTY,OC,10000000,2023-11-17,3161,23
BHARATIYA JANATA PARTY,OC,10000000,2023-11-17,3161,23
BHARATIYA JANATA PARTY,OC,10000000,2023-11-17,3161,23
BHARATIYA JANATA PARTY,OC,10000000,2023-11-17,3161,23
BHARATIYA JANATA PARTY,OC,10000000,2023-11-17,3161,23
BHARATIYA JANATA PARTY,OC,10000000,2023-11-17,3161,23
BHARATIYA JANATA PARTY,OC,10000000,2023-11-17,3161,23
BHARATIYA JANATA PARTY,OC,10000000,2023-11-17,3161,23
BHARATIYA JANATA PARTY,OC,10000000,2023-11-17,3161,23
BHARATIYA JANATA PARTY,OC,10000000,2023-11-17,3161,23
BHARATIYA JANATA PARTY,OC,10000000,2023-11-17,3161,23
BHARATIYA JANATA PARTY,OC,10000000,2023-11-17,3161,23
BHARATIYA JANATA PARTY,OC,10000000,2023-11-17,3161,23
BHARATIYA JANATA PARTY,OC,10000000,2023-11-17,3161,23
BHARATIYA JANATA PARTY,OC,10000000,2023-11-17,3161,23
