Name of the Political Party,Prefix,Denominations,Journal Date,local_node_id,Round
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,3406,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,3406,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,3406,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,3406,0
BHARATIYA JANATA PARTY,TL,1000000,2019-04-16,3345,0
BHARATIYA JANATA PARTY,TL,1000000,2019-04-16,3345,0
BHARATIYA JANATA PARTY,TL,1000000,2019-04-16,3345,0
BHARATIYA JANATA PARTY,OL,100000,2019-04-16,3345,0
BHARATIYA JANATA PARTY,OL,100000,2019-04-16,3345,0
BHARATIYA JANATA PARTY,OL,100000,2019-04-16,3345,0
BHARATIYA JANATA PARTY,OL,100000,2019-04-16,3345,0
BHARATIYA JANATA PARTY,OL,100000,2019-04-16,3345,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",TL,1000000,2021-04-09,2720,9
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",TL,1000000,2021-04-09,2720,9
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",TL,1000000,2021-07-06,3321,10
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",TL,1000000,2021-07-06,3321,10
BHARAT RASHTRA SAMITHI,TL,1000000,2022-04-08,2989,13
BHARAT RASHTRA SAMITHI,TL,1000000,2022-04-08,2989,13
BHARAT RASHTRA SAMITHI,TL,1000000,2022-04-08,2989,13
BHARAT RASHTRA SAMITHI,TL,1000000,2022-04-08,2989,13
BHARAT RASHTRA SAMITHI,TL,1000000,2022-04-08,2989,13
BHARAT RASHTRA SAMITHI,OC,10000000,2022-04-08,3070,13
BHARAT RASHTRA SAMITHI,OC,10000000,2022-04-09,3070,13
BIJU JANATA DAL,TL,1000000,2022-07-07,3288,14
BIJU JANATA DAL,TL,1000000,2022-07-07,3288,14
BIJU JANATA DAL,TL,1000000,2022-07-07,3288,14
BIJU JANATA DAL,TL,1000000,2022-07-07,3288,14
BIJU JANATA DAL,TL,1000000,2022-07-07,3288,14
BHARATIYA JANATA PARTY,TL,1000000,2022-11-15,3260,16
BHARATIYA JANATA PARTY,OL,100000,2022-11-15,3260,16
BHARATIYA JANATA PARTY,OL,100000,2022-11-15,3260,16
BHARATIYA JANATA PARTY,OL,100000,2022-11-15,3260,16
BHARATIYA JANATA PARTY,TT,10000,2022-11-15,3260,16
BHARATIYA JANATA PARTY,TT,10000,2022-11-15,3260,16
BHARATIYA JANATA PARTY,TT,10000,2022-11-15,3260,16
BHARATIYA JANATA PARTY,TT,10000,2022-11-15,3260,16
BHARATIYA JANATA PARTY,TT,10000,2022-11-15,3260,16
BHARATIYA JANATA PARTY,TT,10000,2022-11-15,3260,16
BHARATIYA JANATA PARTY,OT,1000,2022-11-15,3260,16
BHARATIYA JANATA PARTY,OT,1000,2022-11-15,3260,16
BHARATIYA JANATA PARTY,OT,1000,2022-11-15,3260,16
BHARATIYA JANATA PARTY,OT,1000,2022-11-15,3260,16
BHARATIYA JANATA PARTY,OT,1000,2022-11-15,3260,16
BHARATIYA JANATA PARTY,OT,1000,2022-11-15,3260,16
BHARATIYA JANATA PARTY,OT,1000,2022-11-15,3260,16
BHARATIYA JANATA PARTY,OT,1000,2022-11-15,3260,16
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",TL,1000000,2022-11-15,1684,16
BHARAT RASHTRA SAMITHI,OC,10000000,2023-04-10,2976,20
BHARAT RASHTRA SAMITHI,OC,10000000,2023-04-10,2976,20
BHARAT RASHTRA SAMITHI,OC,10000000,2023-04-10,2976,20
BHARAT RASHTRA SAMITHI,OC,10000000,2023-04-10,2976,20
BHARAT RASHTRA SAMITHI,OC,10000000,2023-04-10,2976,20
ALL INDIA TRINAMOOL CONGRESS,OC,10000000,2023-07-11,3154,21
ALL INDIA TRINAMOOL CONGRESS,OC,10000000,2023-07-11,3154,21
ALL INDIA TRINAMOOL CONGRESS,OC,10000000,2023-07-11,3154,21
BHARAT RASHTRA SAMITHI,TL,1000000,2023-07-11,2869,21
BHARAT RASHTRA SAMITHI,TL,1000000,2023-07-11,2869,21
