Name of the Political Party,Prefix,Denominations,Journal Date,local_node_id,Round
BHARATIYA JANATA PARTY,TL,1000000,2019-04-17,3493,0
BHARATIYA JANATA PARTY,TL,1000000,2019-04-17,3493,0
BHARATIYA JANATA PARTY,OL,100000,2019-04-17,3493,0
BHARATIYA JANATA PARTY,OL,100000,2019-04-17,3493,0
BHARATIYA JANATA PARTY,OL,100000,2019-04-17,3493,0
BHARATIYA JANATA PARTY,OL,100000,2019-04-17,3493,0
BHARATIYA JANATA PARTY,OL,100000,2019-04-17,3493,0
ALL INDIA TRINAMOOL CONGRESS,OC,10000000,2019-05-10,3810,1
ALL INDIA TRINAMOOL CONGRESS,OC,10000000,2021-04-06,3810,9
ALL INDIA TRINAMOOL CONGRESS,OC,10000000,2021-04-06,3810,9
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",TL,1000000,2022-01-03,3969,12
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",TL,1000000,2022-01-03,3969,12
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",TL,1000000,2022-01-03,3969,12
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2022-10-10,3810,15
BHARATIYA JANATA PARTY,OC,10000000,2023-01-24,3719,18
BHARATIYA JANATA PARTY,TL,1000000,2023-01-24,3719,18
BHARATIYA JANATA PARTY,TL,1000000,2023-01-24,3719,18
BHARATIYA JANATA PARTY,TL,1000000,2023-01-24,3719,18
BHARATIYA JANATA PARTY,TL,1000000,2023-01-24,3719,18
BHARATIYA JANATA PARTY,TL,1000000,2023-01-24,3719,18
SHIVSENA,OC,10000000,2023-07-11,3719,21
