Name of the Political Party,Prefix,Denominations,Journal Date,local_node_id,Round
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,2780,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,2780,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,2780,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,2780,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,2780,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,2780,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,2780,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,2780,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,2780,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,2780,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",TL,1000000,2019-04-18,2727,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-18,2795,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-18,2795,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-18,2795,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-18,2795,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-18,2795,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-18,2795,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-18,2795,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-18,2795,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-18,2795,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-18,2795,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-18,2795,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-18,2795,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-18,2795,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-18,2795,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-18,2795,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-18,2795,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-18,2795,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-18,2795,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2019-04-18,2795,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2019-04-18,2795,0
BHARATIYA JANATA PARTY,OC,10000000,2019-05-10,3208,1
BHARATIYA JANATA PARTY,OC,10000000,2019-05-10,3208,1
BHARATIYA JANATA PARTY,OC,10000000,2019-05-10,3208,1
BHARATIYA JANATA PARTY,OC,10000000,2019-05-10,3208,1
BHARATIYA JANATA PARTY,OC,10000000,2019-05-10,3208,1
BHARATIYA JANATA PARTY,OC,10000000,2019-05-10,3208,1
BHARATIYA JANATA PARTY,OC,10000000,2019-05-10,3208,1
BHARATIYA JANATA PARTY,OC,10000000,2019-05-10,3208,1
BHARATIYA JANATA PARTY,OC,10000000,2019-05-10,3208,1
BHARATIYA JANATA PARTY,OC,10000000,2019-05-10,3208,1
BHARATIYA JANATA PARTY,OC,10000000,2019-05-10,3208,1
BHARATIYA JANATA PARTY,OC,10000000,2019-05-10,3208,1
BHARATIYA JANATA PARTY,OC,10000000,2019-05-10,3208,1
BHARATIYA JANATA PARTY,OC,10000000,2019-05-10,3208,1
BHARATIYA JANATA PARTY,OC,10000000,2019-05-10,3208,1
BHARATIYA JANATA PARTY,OC,10000000,2019-05-10,3208,1
BHARATIYA JANATA PARTY,OC,10000000,2019-05-10,3208,1
BHARATIYA JANATA PARTY,OC,10000000,2019-05-10,3208,1
BHARATIYA JANATA PARTY,OC,10000000,2019-05-10,3208,1
BHARATIYA JANATA PARTY,OC,10000000,2019-05-10,3208,1
BHARATIYA JANATA PARTY,TL,1000000,2019-10-04,2892,3
BHARATIYA JANATA PARTY,TL,1000000,2019-10-04,2892,3
BHARATIYA JANATA PARTY,TL,1000000,2019-10-04,2892,3
BHARATIYA JANATA PARTY,TL,1000000,2019-10-04,2892,3
BHARATIYA JANATA PARTY,TL,1000000,2019-10-04,2892,3
BHARATIYA JANATA PARTY,TL,1000000,2019-10-04,2892,3
BHARATIYA JANATA PARTY,OC,10000000,2022-01-07,3374,12
BHARATIYA JANATA PARTY,OC,10000000,2022-01-07,3374,12
BHARAT RASHTRA SAMITHI,OC,10000000,2022-10-10,3357,15
BHARAT RASHTRA SAMITHI,OC,10000000,2022-10-10,3357,15
BHARAT RASHTRA SAMITHI,OC,10000000,2022-10-10,3357,15
BHARAT RASHTRA SAMITHI,OC,10000000,2022-10-10,3357,15
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",TL,1000000,2022-11-15,1684,16
BHARATIYA JANATA PARTY,OC,10000000,2022-12-12,2727,17
