Name of the Political Party,Prefix,Denominations,Journal Date,local_node_id,Round
BHARATIYA JANATA PARTY,TL,1000000,2019-05-10,3207,1
BHARATIYA JANATA PARTY,TL,1000000,2019-05-10,3207,1
BHARATIYA JANATA PARTY,TL,1000000,2019-05-10,3207,1
BHARATIYA JANATA PARTY,TL,1000000,2019-05-10,3207,1
BHARATIYA JANATA PARTY,TL,1000000,2019-05-10,3207,1
ALL INDIA TRINAMOOL CONGRESS,TL,1000000,2019-07-08,2711,2
ALL INDIA TRINAMOOL CONGRESS,TL,1000000,2019-07-08,2711,2
ALL INDIA TRINAMOOL CONGRESS,TL,1000000,2019-07-08,2711,2
BHARATIYA JANATA PARTY,TL,1000000,2019-10-04,2892,3
BHARATIYA JANATA PARTY,TL,1000000,2019-10-04,2892,3
BHARATIYA JANATA PARTY,TL,1000000,2019-10-04,2892,3
BHARATIYA JANATA PARTY,TL,1000000,2019-10-04,2892,3
BHARATIYA JANATA PARTY,TL,1000000,2019-10-04,2892,3
BHARATIYA JANATA PARTY,TL,1000000,2019-10-04,2892,3
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2021-01-08,2829,8
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2021-01-08,2829,8
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2021-01-08,2829,8
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2021-01-08,2829,8
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2021-01-08,2829,8
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2021-01-08,2829,8
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2021-01-08,2829,8
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",TT,10000,2021-01-08,2829,8
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",TT,10000,2021-01-08,2829,8
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",TT,10000,2021-01-08,2829,8
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",TT,10000,2021-01-08,2829,8
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",TT,10000,2021-01-08,2829,8
BHARATIYA JANATA PARTY,OL,100000,2021-01-08,2829,8
BHARATIYA JANATA PARTY,OL,100000,2021-01-08,2829,8
BHARATIYA JANATA PARTY,TT,10000,2021-01-08,2829,8
BHARATIYA JANATA PARTY,TT,10000,2021-01-08,2829,8
BHARATIYA JANATA PARTY,TT,10000,2021-01-08,2829,8
BHARATIYA JANATA PARTY,TT,10000,2021-01-08,2829,8
BHARATIYA JANATA PARTY,TT,10000,2021-01-08,2829,8
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2021-10-05,2662,11
ALL INDIA TRINAMOOL CONGRESS,TL,1000000,2021-10-05,2662,11
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",TL,1000000,2022-01-03,2728,12
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",TL,1000000,2022-01-03,2728,12
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",TL,1000000,2022-01-03,2728,12
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",TL,1000000,2022-01-03,2728,12
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",TL,1000000,2022-01-03,2728,12
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",TL,1000000,2022-01-03,2728,12
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",TL,1000000,2022-01-03,2728,12
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",TL,1000000,2022-01-03,2728,12
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",TL,1000000,2022-01-03,2728,12
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2022-01-03,2728,12
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2022-01-03,2728,12
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2022-01-03,2728,12
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2022-01-03,2728,12
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2022-01-03,2728,12
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2022-01-03,2728,12
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2022-01-03,2728,12
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2022-01-03,2728,12
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2022-01-03,2728,12
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",TT,10000,2022-01-03,2728,12
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",TT,10000,2022-01-03,2728,12
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",TT,10000,2022-01-03,2728,12
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",TT,10000,2022-01-03,2728,12
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",TT,10000,2022-01-03,2728,12
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",TT,10000,2022-01-03,2728,12
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",TT,10000,2022-01-03,2728,12
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",TT,10000,2022-01-03,2728,12
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",TT,10000,2022-01-03,2728,12
ALL INDIA TRINAMOOL CONGRESS,OC,10000000,2022-01-05,2830,12
ALL INDIA TRINAMOOL CONGRESS,OC,10000000,2022-01-05,2830,12
ALL INDIA TRINAMOOL CONGRESS,OC,10000000,2022-01-05,2830,12
ALL INDIA TRINAMOOL CONGRESS,OC,10000000,2022-01-05,2830,12
ALL INDIA TRINAMOOL CONGRESS,OC,10000000,2022-01-05,2830,12
ALL INDIA TRINAMOOL CONGRESS,OC,10000000,2022-01-05,2830,12
ALL INDIA TRINAMOOL CONGRESS,OC,10000000,2022-01-05,2830,12
ALL INDIA TRINAMOOL CONGRESS,OC,10000000,2022-01-05,2830,12
ALL INDIA TRINAMOOL CONGRESS,OC,10000000,2022-01-05,2830,12
ALL INDIA TRINAMOOL CONGRESS,OC,10000000,2022-01-05,2830,12
ALL INDIA TRINAMOOL CONGRESS,OC,10000000,2022-01-05,2830,12
ALL INDIA TRINAMOOL CONGRESS,OC,10000000,2022-01-05,2830,12
ALL INDIA TRINAMOOL CONGRESS,OC,10000000,2022-01-05,2830,12
ALL INDIA TRINAMOOL CONGRESS,OC,10000000,2022-01-05,2830,12
ALL INDIA TRINAMOOL CONGRESS,OC,10000000,2022-01-05,2830,12
ALL INDIA TRINAMOOL CONGRESS,OC,10000000,2022-01-05,2830,12
ALL INDIA TRINAMOOL CONGRESS,OC,10000000,2022-01-05,2830,12
ALL INDIA TRINAMOOL CONGRESS,OC,10000000,2022-01-05,2830,12
ALL INDIA TRINAMOOL CONGRESS,OC,10000000,2022-01-05,2830,12
ALL INDIA TRINAMOOL CONGRESS,OC,10000000,2022-01-05,2830,12
ALL INDIA TRINAMOOL CONGRESS,OC,10000000,2022-01-05,2830,12
ALL INDIA TRINAMOOL CONGRESS,OC,10000000,2022-01-05,2830,12
ALL INDIA TRINAMOOL CONGRESS,OC,10000000,2022-01-05,2830,12
ALL INDIA TRINAMOOL CONGRESS,OC,10000000,2022-01-05,2830,12
ALL INDIA TRINAMOOL CONGRESS,OC,10000000,2022-01-05,2830,12
ALL INDIA TRINAMOOL CONGRESS,OC,10000000,2022-01-05,2830,12
ALL INDIA TRINAMOOL CONGRESS,OC,10000000,2022-01-05,2830,12
ALL INDIA TRINAMOOL CONGRESS,OC,10000000,2022-01-05,2830,12
ALL INDIA TRINAMOOL CONGRESS,OC,10000000,2022-01-05,2830,12
ALL INDIA TRINAMOOL CONGRESS,OC,10000000,2022-01-05,2830,12
ALL INDIA TRINAMOOL CONGRESS,OC,10000000,2022-01-05,2830,12
ALL INDIA TRINAMOOL CONGRESS,OC,10000000,2022-01-05,2830,12
ALL INDIA TRINAMOOL CONGRESS,OC,10000000,2022-01-05,2830,12
ALL INDIA TRINAMOOL CONGRESS,OC,10000000,2022-01-05,2830,12
ALL INDIA TRINAMOOL CONGRESS,OC,10000000,2022-01-05,2830,12
ALL INDIA TRINAMOOL CONGRESS,OC,10000000,2022-01-05,2830,12
ALL INDIA TRINAMOOL CONGRESS,OC,10000000,2022-01-05,2830,12
ALL INDIA TRINAMOOL CONGRESS,OC,10000000,2022-01-05,2830,12
ALL INDIA TRINAMOOL CONGRESS,OC,10000000,2022-01-05,2830,12
ALL INDIA TRINAMOOL CONGRESS,OC,10000000,2022-01-05,2830,12
BHARAT RASHTRA SAMITHI,OC,10000000,2022-04-08,3086,13
BHARAT RASHTRA SAMITHI,OC,10000000,2022-04-08,3086,13
BHARAT RASHTRA SAMITHI,OC,10000000,2022-04-08,3086,13
BHARAT RASHTRA SAMITHI,OC,10000000,2022-04-08,3086,13
BHARAT RASHTRA SAMITHI,OC,10000000,2022-04-08,3086,13
BHARAT RASHTRA SAMITHI,OC,10000000,2022-04-08,3086,13
BHARAT RASHTRA SAMITHI,OC,10000000,2022-04-08,3086,13
BHARAT RASHTRA SAMITHI,OC,10000000,2022-04-08,3086,13
BHARAT RASHTRA SAMITHI,OC,10000000,2022-04-08,3086,13
BHARAT RASHTRA SAMITHI,OC,10000000,2022-04-08,3086,13
BHARAT RASHTRA SAMITHI,OC,10000000,2022-04-08,2830,13
BHARAT RASHTRA SAMITHI,OC,10000000,2022-04-08,2830,13
BHARAT RASHTRA SAMITHI,OC,10000000,2022-04-08,2830,13
BHARAT RASHTRA SAMITHI,OC,10000000,2022-04-08,2830,13
BHARAT RASHTRA SAMITHI,OC,10000000,2022-04-08,2830,13
BHARAT RASHTRA SAMITHI,OC,10000000,2022-04-08,2830,13
BHARAT RASHTRA SAMITHI,OC,10000000,2022-04-08,2830,13
