Name of the Political Party,Prefix,Denominations,Journal Date,local_node_id,Round
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2019-04-16,2849,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-18,2950,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-18,2950,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-18,2950,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-18,2950,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-18,2950,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-18,2950,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-18,2950,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-18,2950,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-18,2950,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-18,2950,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-18,2950,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-18,2950,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-18,2950,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-18,2950,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-18,2950,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-18,2950,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-18,2950,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-18,2950,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-18,2950,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-18,2950,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-18,2950,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-18,2950,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-18,2950,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-18,2950,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-18,2950,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-18,2950,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-18,2950,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-18,2950,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-18,2950,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-18,2950,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-18,2950,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-18,2950,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-18,2950,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-18,2950,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-18,2950,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2019-04-18,2894,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2019-04-18,2894,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2019-04-18,2894,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2019-04-18,2894,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2019-04-18,2894,0
