Name of the Political Party,Prefix,Denominations,Journal Date,local_node_id,Round
BHARATIYA JANATA PARTY,TL,1000000,2019-04-18,13,0
BHARATIYA JANATA PARTY,TL,1000000,2019-04-18,13,0
BHARATIYA JANATA PARTY,TL,1000000,2019-04-18,13,0
BHARATIYA JANATA PARTY,TL,1000000,2019-04-18,13,0
BHARATIYA JANATA PARTY,TL,1000000,2019-04-18,13,0
BHARATIYA JANATA PARTY,TL,1000000,2019-04-12,203,0
BHARATIYA JANATA PARTY,TL,1000000,2019-04-12,203,0
BHARATIYA JANATA PARTY,TL,1000000,2019-04-12,203,0
BHARATIYA JANATA PARTY,OL,100000,2019-04-12,203,0
BHARATIYA JANATA PARTY,OL,100000,2019-04-12,203,0
BHARATIYA JANATA PARTY,OL,100000,2019-04-12,203,0
BHARATIYA JANATA PARTY,OL,100000,2019-04-12,203,0
BHARATIYA JANATA PARTY,OL,100000,2019-04-12,203,0
BHARATIYA JANATA PARTY,OL,100000,2019-04-12,203,0
BHARATIYA JANATA PARTY,OL,100000,2019-04-12,203,0
BHARATIYA JANATA PARTY,OL,100000,2019-04-12,203,0
BHARATIYA JANATA PARTY,OL,100000,2019-04-12,203,0
BHARATIYA JANATA PARTY,OL,100000,2019-04-12,203,0
BHARATIYA JANATA PARTY,TT,10000,2019-10-09,56,3
BHARATIYA JANATA PARTY,TT,10000,2019-10-09,56,3
BHARATIYA JANATA PARTY,TT,10000,2019-10-09,56,3
BHARATIYA JANATA PARTY,TT,10000,2019-10-09,56,3
BHARATIYA JANATA PARTY,TT,10000,2019-10-09,56,3
ALL INDIA TRINAMOOL CONGRESS,OL,100000,2020-01-18,200,4
ALL INDIA TRINAMOOL CONGRESS,OL,100000,2020-01-18,200,4
ALL INDIA TRINAMOOL CONGRESS,OL,100000,2020-01-18,200,4
ALL INDIA TRINAMOOL CONGRESS,OL,100000,2021-04-08,200,9
ALL INDIA TRINAMOOL CONGRESS,OL,100000,2021-04-08,200,9
ALL INDIA TRINAMOOL CONGRESS,OL,100000,2021-04-08,200,9
BHARATIYA JANATA PARTY,OC,10000000,2021-04-07,141,9
BHARATIYA JANATA PARTY,OC,10000000,2021-04-07,141,9
BHARATIYA JANATA PARTY,OC,10000000,2021-04-07,141,9
BHARATIYA JANATA PARTY,OC,10000000,2021-04-07,141,9
BHARATIYA JANATA PARTY,OC,10000000,2021-04-07,141,9
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2021-07-02,40,10
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2021-07-02,40,10
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2021-07-02,40,10
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2021-07-02,40,10
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2021-07-02,40,10
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2021-10-07,232,11
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2021-10-07,232,11
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2021-10-07,232,11
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2021-10-07,232,11
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2021-10-07,232,11
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2021-10-07,232,11
BHARAT RASHTRA SAMITHI,OC,10000000,2022-07-01,9,14
BHARAT RASHTRA SAMITHI,OC,10000000,2022-07-01,9,14
BHARAT RASHTRA SAMITHI,OC,10000000,2022-07-01,9,14
BHARAT RASHTRA SAMITHI,OC,10000000,2022-07-01,9,14
BHARAT RASHTRA SAMITHI,OC,10000000,2022-07-01,9,14
BHARAT RASHTRA SAMITHI,OC,10000000,2022-07-01,9,14
BHARAT RASHTRA SAMITHI,OC,10000000,2022-07-01,9,14
BHARAT RASHTRA SAMITHI,OC,10000000,2022-07-01,9,14
BHARAT RASHTRA SAMITHI,OC,10000000,2022-07-01,9,14
BHARAT RASHTRA SAMITHI,OC,10000000,2022-07-01,9,14
TELUGU DESAM PARTY,OC,10000000,2022-07-06,322,14
TELUGU DESAM PARTY,OC,10000000,2022-07-06,322,14
TELUGU DESAM PARTY,OC,10000000,2022-07-06,322,14
TELUGU DESAM PARTY,OC,10000000,2022-07-06,322,14
TELUGU DESAM PARTY,OC,10000000,2022-07-06,322,14
BHARATIYA JANATA PARTY,OC,10000000,2022-07-01,9,14
BHARATIYA JANATA PARTY,OC,10000000,2022-07-01,9,14
BHARAT RASHTRA SAMITHI,OC,10000000,2023-10-11,113,22
BHARAT RASHTRA SAMITHI,OC,10000000,2023-10-11,113,22
BHARAT RASHTRA SAMITHI,OC,10000000,2023-10-11,113,22
BHARAT RASHTRA SAMITHI,OC,10000000,2023-10-11,113,22
BHARAT RASHTRA SAMITHI,OC,10000000,2023-10-11,113,22
BHARAT RASHTRA SAMITHI,OL,100000,2023-10-11,128,22
BHARAT RASHTRA SAMITHI,OL,100000,2023-10-11,128,22
BHARAT RASHTRA SAMITHI,OL,100000,2023-10-11,128,22
BHARAT RASHTRA SAMITHI,OL,100000,2023-10-11,128,22
BHARAT RASHTRA SAMITHI,OL,100000,2023-10-11,128,22
