Name of the Political Party,Prefix,Denominations,Journal Date,local_node_id,Round
BHARAT RASHTRA SAMITHI,OC,10000000,2023-07-12,1533,21
BHARAT RASHTRA SAMITHI,OC,10000000,2023-07-12,1533,21
BHARAT RASHTRA SAMITHI,OC,10000000,2023-07-12,1533,21
BHARAT RASHTRA SAMITHI,TL,1000000,2023-07-12,1533,21
BHARAT RASHTRA SAMITHI,TL,1000000,2023-07-12,1533,21
BHARAT RASHTRA SAMITHI,TL,1000000,2023-07-12,1533,21
BHARAT RASHTRA SAMITHI,TL,1000000,2023-07-12,1533,21
BHARAT RASHTRA SAMITHI,TL,1000000,2023-07-12,1533,21
BHARAT RASHTRA SAMITHI,OL,100000,2023-07-12,1533,21
BHARAT RASHTRA SAMITHI,OL,100000,2023-07-12,1533,21
BHARAT RASHTRA SAMITHI,OL,100000,2023-07-12,1533,21
BHARAT RASHTRA SAMITHI,OL,100000,2023-07-12,1533,21
BHARAT RASHTRA SAMITHI,OL,100000,2023-07-12,1533,21
