Name of the Political Party,Prefix,Denominations,Journal Date,local_node_id,Round
BHARATIYA JANATA PARTY,OC,10000000,2019-04-18,2795,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-18,2795,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-18,2795,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-18,2795,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-18,2795,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-18,2795,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-18,2795,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-18,2795,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-18,2795,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-18,2795,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-18,2795,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-18,2795,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-18,2795,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-18,2795,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-18,2795,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-18,2795,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-18,2795,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-18,2795,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2019-04-18,2795,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2019-04-18,2795,0
BHARATIYA JANATA PARTY,OC,10000000,2021-04-09,3043,9
BHARATIYA JANATA PARTY,OC,10000000,2021-04-09,3043,9
BHARATIYA JANATA PARTY,OC,10000000,2021-04-09,3043,9
BHARATIYA JANATA PARTY,OC,10000000,2021-04-09,3043,9
BHARATIYA JANATA PARTY,TL,1000000,2021-04-09,3043,9
BHARATIYA JANATA PARTY,TL,1000000,2021-04-09,3043,9
BHARATIYA JANATA PARTY,TL,1000000,2021-04-09,3043,9
BHARATIYA JANATA PARTY,TL,1000000,2021-04-09,3043,9
BHARATIYA JANATA PARTY,TL,1000000,2021-04-09,3043,9
BHARATIYA JANATA PARTY,TL,1000000,2021-04-09,3043,9
BHARATIYA JANATA PARTY,TL,1000000,2021-04-09,3043,9
BHARATIYA JANATA PARTY,TL,1000000,2021-04-09,3043,9
BHARATIYA JANATA PARTY,TL,1000000,2021-04-09,3043,9
BHARATIYA JANATA PARTY,TL,1000000,2021-04-09,3043,9
BHARATIYA JANATA PARTY,OC,10000000,2022-01-07,3374,12
BHARATIYA JANATA PARTY,OC,10000000,2022-01-07,3374,12
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",TL,1000000,2022-11-15,1684,16
BHARATIYA JANATA PARTY,OC,10000000,2023-04-11,3327,20
BHARATIYA JANATA PARTY,OC,10000000,2023-04-11,3327,20
BHARATIYA JANATA PARTY,OC,10000000,2023-04-11,3327,20
BHARATIYA JANATA PARTY,OC,10000000,2023-04-11,3327,20
BHARATIYA JANATA PARTY,OC,10000000,2023-04-11,3327,20
BHARATIYA JANATA PARTY,OC,10000000,2023-04-11,3327,20
BHARATIYA JANATA PARTY,OC,10000000,2023-04-11,3327,20
BHARATIYA JANATA PARTY,OC,10000000,2023-04-11,3327,20
BHARATIYA JANATA PARTY,OC,10000000,2023-04-11,3327,20
BHARATIYA JANATA PARTY,OC,10000000,2023-04-11,3327,20
BHARATIYA JANATA PARTY,OC,10000000,2023-04-11,3327,20
BHARATIYA JANATA PARTY,OC,10000000,2023-04-11,3327,20
BHARATIYA JANATA PARTY,OC,10000000,2023-04-11,3327,20
BHARAT RASHTRA SAMITHI,OC,10000000,2023-07-05,3110,21
BHARAT RASHTRA SAMITHI,OC,10000000,2023-07-05,3110,21
BHARAT RASHTRA SAMITHI,OC,10000000,2023-07-05,3110,21
BHARAT RASHTRA SAMITHI,OC,10000000,2023-07-05,3110,21
BHARAT RASHTRA SAMITHI,OC,10000000,2023-07-05,3110,21
BHARAT RASHTRA SAMITHI,OC,10000000,2023-07-05,3110,21
BHARAT RASHTRA SAMITHI,OC,10000000,2023-07-05,3110,21
BHARAT RASHTRA SAMITHI,OC,10000000,2023-07-05,3110,21
BHARAT RASHTRA SAMITHI,OC,10000000,2023-07-05,3110,21
BHARAT RASHTRA SAMITHI,OC,10000000,2023-07-05,3110,21
BHARAT RASHTRA SAMITHI,OC,10000000,2023-07-05,3110,21
BHARAT RASHTRA SAMITHI,OC,10000000,2023-07-05,3110,21
BHARAT RASHTRA SAMITHI,OC,10000000,2023-07-05,3110,21
BHARAT RASHTRA SAMITHI,OC,10000000,2023-07-05,3110,21
BHARAT RASHTRA SAMITHI,OC,10000000,2023-07-05,3110,21
BHARAT RASHTRA SAMITHI,OC,10000000,2023-07-05,3110,21
BHARAT RASHTRA SAMITHI,OC,10000000,2023-07-05,3110,21
BHARAT RASHTRA SAMITHI,OC,10000000,2023-07-05,3110,21
BHARAT RASHTRA SAMITHI,OC,10000000,2023-07-05,3110,21
BHARAT RASHTRA SAMITHI,OC,10000000,2023-07-05,3110,21
BHARAT RASHTRA SAMITHI,TL,1000000,2023-07-12,3369,21
BHARAT RASHTRA SAMITHI,OL,100000,2023-07-12,3369,21
BHARAT RASHTRA SAMITHI,OL,100000,2023-07-12,3369,21
BHARAT RASHTRA SAMITHI,OL,100000,2023-07-12,3369,21
BHARATIYA JANATA PARTY,OC,10000000,2023-07-12,3327,21
BHARATIYA JANATA PARTY,OC,10000000,2023-07-12,3327,21
BHARATIYA JANATA PARTY,OC,10000000,2023-07-12,3327,21
BHARATIYA JANATA PARTY,OC,10000000,2023-07-12,3327,21
BHARATIYA JANATA PARTY,OC,10000000,2023-07-12,3327,21
BHARATIYA JANATA PARTY,OC,10000000,2023-07-12,3327,21
BHARATIYA JANATA PARTY,OC,10000000,2023-07-12,3327,21
BHARATIYA JANATA PARTY,OC,10000000,2023-07-12,3327,21
BHARATIYA JANATA PARTY,OC,10000000,2023-07-12,3327,21
BHARATIYA JANATA PARTY,OC,10000000,2023-07-12,3327,21
BHARATIYA JANATA PARTY,OC,10000000,2023-07-12,3327,21
BHARATIYA JANATA PARTY,OC,10000000,2023-07-12,3327,21
BHARATIYA JANATA PARTY,OC,10000000,2023-07-12,3327,21
BHARATIYA JANATA PARTY,OC,10000000,2023-07-12,3327,21
