Name of the Political Party,Prefix,Denominations,Journal Date,local_node_id,Round
BHARATIYA JANATA PARTY,OC,10000000,2019-05-09,3378,1
BHARATIYA JANATA PARTY,OC,10000000,2019-05-09,3378,1
BHARATIYA JANATA PARTY,OL,100000,2019-10-09,3331,3
BHARAT RASHTRA SAMITHI,OC,10000000,2022-04-07,2778,13
BHARAT RASHTRA SAMITHI,OC,10000000,2022-04-07,2778,13
BHARAT RASHTRA SAMITHI,OC,10000000,2022-04-07,2778,13
BHARAT RASHTRA SAMITHI,OC,10000000,2022-04-07,2778,13
BHARAT RASHTRA SAMITHI,OC,10000000,2022-04-07,2778,13
BHARAT RASHTRA SAMITHI,OC,10000000,2022-04-07,2778,13
BHARAT RASHTRA SAMITHI,OC,10000000,2022-04-07,2778,13
BHARAT RASHTRA SAMITHI,OC,10000000,2022-04-07,2778,13
BHARAT RASHTRA SAMITHI,OC,10000000,2022-04-07,2778,13
BHARAT RASHTRA SAMITHI,OC,10000000,2022-04-07,2778,13
BHARAT RASHTRA SAMITHI,OC,10000000,2022-04-07,2778,13
BHARAT RASHTRA SAMITHI,OC,10000000,2022-04-07,2778,13
BHARAT RASHTRA SAMITHI,OC,10000000,2022-04-07,2778,13
BHARAT RASHTRA SAMITHI,OC,10000000,2022-04-07,2778,13
BHARAT RASHTRA SAMITHI,OC,10000000,2022-04-07,2778,13
BHARAT RASHTRA SAMITHI,OC,10000000,2022-04-07,2778,13
BHARAT RASHTRA SAMITHI,OC,10000000,2022-04-07,2778,13
BHARAT RASHTRA SAMITHI,OC,10000000,2022-04-07,2778,13
BHARAT RASHTRA SAMITHI,OC,10000000,2022-04-07,2778,13
BHARAT RASHTRA SAMITHI,OC,10000000,2022-04-07,2778,13
BHARATIYA JANATA PARTY,OC,10000000,2022-04-07,2778,13
BHARATIYA JANATA PARTY,OC,10000000,2022-04-07,2778,13
BHARATIYA JANATA PARTY,OC,10000000,2022-04-07,2778,13
BHARATIYA JANATA PARTY,OC,10000000,2022-04-07,2778,13
BHARATIYA JANATA PARTY,OC,10000000,2022-04-07,2778,13
BHARAT RASHTRA SAMITHI,OC,10000000,2022-07-05,2778,14
BHARAT RASHTRA SAMITHI,OC,10000000,2022-07-05,2778,14
BHARAT RASHTRA SAMITHI,OC,10000000,2022-07-05,2778,14
BHARAT RASHTRA SAMITHI,OC,10000000,2022-07-05,2778,14
BHARAT RASHTRA SAMITHI,OC,10000000,2022-07-05,2778,14
BHARAT RASHTRA SAMITHI,OC,10000000,2022-07-05,2778,14
