Name of the Political Party,Prefix,Denominations,Journal Date,local_node_id,Round
BHARATIYA JANATA PARTY,TL,1000000,2019-04-12,3516,0
BHARATIYA JANATA PARTY,OL,100000,2019-04-12,3516,0
BHARATIYA JANATA PARTY,OL,100000,2019-04-12,3516,0
BHARATIYA JANATA PARTY,OL,100000,2019-04-12,3516,0
BHARATIYA JANATA PARTY,OL,100000,2019-04-12,3516,0
BHARATIYA JANATA PARTY,OL,100000,2019-04-12,3516,0
BHARATIYA JANATA PARTY,TL,1000000,2019-05-10,3562,1
BHARATIYA JANATA PARTY,TL,1000000,2019-05-10,3562,1
BHARATIYA JANATA PARTY,TL,1000000,2019-05-10,3562,1
BHARATIYA JANATA PARTY,TL,1000000,2019-05-10,3562,1
BHARATIYA JANATA PARTY,TL,1000000,2019-05-10,3562,1
BHARATIYA JANATA PARTY,OC,10000000,2021-04-08,3919,9
BHARATIYA JANATA PARTY,OC,10000000,2021-04-08,3919,9
BHARATIYA JANATA PARTY,OC,10000000,2021-04-08,3919,9
BHARATIYA JANATA PARTY,OC,10000000,2021-04-08,3919,9
BHARATIYA JANATA PARTY,OC,10000000,2021-04-08,3919,9
BHARATIYA JANATA PARTY,OC,10000000,2021-04-08,3919,9
BHARATIYA JANATA PARTY,OC,10000000,2021-04-08,3919,9
BHARATIYA JANATA PARTY,OC,10000000,2021-04-08,3919,9
BHARATIYA JANATA PARTY,OC,10000000,2021-04-08,3919,9
BHARATIYA JANATA PARTY,OC,10000000,2021-04-08,3919,9
BHARATIYA JANATA PARTY,OC,10000000,2021-04-08,3919,9
BHARATIYA JANATA PARTY,OC,10000000,2021-04-08,3919,9
BHARATIYA JANATA PARTY,OC,10000000,2021-04-08,3919,9
BHARATIYA JANATA PARTY,OC,10000000,2021-04-08,3919,9
BHARATIYA JANATA PARTY,OC,10000000,2021-04-08,3919,9
BHARATIYA JANATA PARTY,OC,10000000,2021-04-08,3919,9
BHARATIYA JANATA PARTY,OC,10000000,2021-04-08,3919,9
BHARATIYA JANATA PARTY,OC,10000000,2021-04-08,3919,9
BHARATIYA JANATA PARTY,OC,10000000,2021-04-08,3919,9
BHARATIYA JANATA PARTY,OC,10000000,2021-04-08,3919,9
ALL INDIA TRINAMOOL CONGRESS,TL,1000000,2021-07-06,3479,10
ALL INDIA TRINAMOOL CONGRESS,TL,1000000,2021-07-06,3479,10
ALL INDIA TRINAMOOL CONGRESS,TL,1000000,2021-07-06,3479,10
ALL INDIA TRINAMOOL CONGRESS,TL,1000000,2021-07-06,3479,10
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2023-10-07,3898,22
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2023-10-07,3898,22
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2023-10-07,3898,22
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",TL,1000000,2023-10-07,3898,22
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",TL,1000000,2023-10-07,3898,22
ALL INDIA TRINAMOOL CONGRESS,OC,10000000,2023-10-07,3898,22
ALL INDIA TRINAMOOL CONGRESS,OL,100000,2023-10-07,3898,22
ALL INDIA TRINAMOOL CONGRESS,OL,100000,2023-10-07,3898,22
ALL INDIA TRINAMOOL CONGRESS,OL,100000,2023-10-07,3898,22
ALL INDIA TRINAMOOL CONGRESS,OL,100000,2023-10-07,3898,22
ALL INDIA TRINAMOOL CONGRESS,OL,100000,2023-10-07,3898,22
