Name of the Political Party,Prefix,Denominations,Journal Date,local_node_id,Round
BHARATIYA JANATA PARTY,OC,10000000,2021-04-03,3303,9
BHARATIYA JANATA PARTY,OC,10000000,2021-04-03,3303,9
BHARATIYA JANATA PARTY,OC,10000000,2021-04-03,3303,9
ALL INDIA TRINAMOOL CONGRESS,OC,10000000,2021-07-03,3056,10
ALL INDIA TRINAMOOL CONGRESS,OC,10000000,2021-07-03,3056,10
ALL INDIA TRINAMOOL CONGRESS,OC,10000000,2021-07-03,3056,10
ALL INDIA TRINAMOOL CONGRESS,OC,10000000,2021-07-03,3056,10
ALL INDIA TRINAMOOL CONGRESS,OC,10000000,2021-07-03,3056,10
ALL INDIA TRINAMOOL CONGRESS,OC,10000000,2021-07-03,3056,10
ALL INDIA TRINAMOOL CONGRESS,OC,10000000,2021-07-05,3056,10
ALL INDIA TRINAMOOL CONGRESS,OC,10000000,2021-07-05,3056,10
ALL INDIA TRINAMOOL CONGRESS,OC,10000000,2021-07-06,3056,10
ALL INDIA TRINAMOOL CONGRESS,OC,10000000,2021-07-06,3056,10
ALL INDIA TRINAMOOL CONGRESS,OC,10000000,2021-07-06,3056,10
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2021-07-09,3056,10
ALL INDIA TRINAMOOL CONGRESS,OC,10000000,2021-07-09,3056,10
ALL INDIA TRINAMOOL CONGRESS,OC,10000000,2021-07-09,3056,10
ALL INDIA TRINAMOOL CONGRESS,OC,10000000,2021-07-09,3056,10
ALL INDIA TRINAMOOL CONGRESS,OC,10000000,2021-07-09,3056,10
ALL INDIA TRINAMOOL CONGRESS,OC,10000000,2021-07-09,3056,10
ALL INDIA TRINAMOOL CONGRESS,OC,10000000,2021-07-09,3056,10
ALL INDIA TRINAMOOL CONGRESS,OC,10000000,2021-07-09,3056,10
ALL INDIA TRINAMOOL CONGRESS,OC,10000000,2021-07-09,3056,10
ALL INDIA TRINAMOOL CONGRESS,OC,10000000,2021-07-09,3056,10
ALL INDIA TRINAMOOL CONGRESS,OC,10000000,2021-07-09,3056,10
ALL INDIA TRINAMOOL CONGRESS,TL,1000000,2021-07-09,3056,10
ALL INDIA TRINAMOOL CONGRESS,TL,1000000,2021-07-09,3056,10
ALL INDIA TRINAMOOL CONGRESS,TL,1000000,2021-07-09,3056,10
ALL INDIA TRINAMOOL CONGRESS,TL,1000000,2021-07-09,3056,10
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2021-10-04,3056,11
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2021-10-04,3056,11
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2021-10-04,3056,11
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2021-10-04,3056,11
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2021-10-04,3056,11
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2021-10-04,3056,11
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2021-10-04,3056,11
ALL INDIA TRINAMOOL CONGRESS,OC,10000000,2021-10-04,3056,11
ALL INDIA TRINAMOOL CONGRESS,OC,10000000,2021-10-04,3056,11
ALL INDIA TRINAMOOL CONGRESS,OC,10000000,2021-10-04,3056,11
ALL INDIA TRINAMOOL CONGRESS,OC,10000000,2021-10-04,3056,11
ALL INDIA TRINAMOOL CONGRESS,OC,10000000,2021-10-04,3056,11
ALL INDIA TRINAMOOL CONGRESS,OC,10000000,2021-10-04,3056,11
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2021-10-07,3098,11
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2021-10-07,3098,11
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2021-10-07,3098,11
