Name of the Political Party,Prefix,Denominations,Journal Date,local_node_id,Round
BHARATIYA JANATA PARTY,TL,1000000,2019-04-18,1636,0
BHARATIYA JANATA PARTY,TL,1000000,2019-04-18,1636,0
BHARATIYA JANATA PARTY,TL,1000000,2019-04-18,1636,0
BHARATIYA JANATA PARTY,TL,1000000,2019-04-18,1636,0
BHARATIYA JANATA PARTY,TL,1000000,2019-04-18,1636,0
BHARATIYA JANATA PARTY,TL,1000000,2019-04-18,1636,0
BHARATIYA JANATA PARTY,TL,1000000,2019-04-18,1636,0
BHARATIYA JANATA PARTY,TL,1000000,2019-04-18,1636,0
BHARATIYA JANATA PARTY,TL,1000000,2019-04-18,1636,0
BHARATIYA JANATA PARTY,TL,1000000,2019-04-18,1636,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-18,1647,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-18,1647,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-18,1647,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-18,1647,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-18,1647,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-18,1647,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-18,1647,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-18,1647,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-18,1647,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-18,1647,0
BHARATIYA JANATA PARTY,OL,100000,2019-04-18,1647,0
BHARATIYA JANATA PARTY,OL,100000,2019-04-18,1647,0
BHARATIYA JANATA PARTY,OL,100000,2019-04-18,1647,0
BHARATIYA JANATA PARTY,OL,100000,2019-04-18,1647,0
BHARATIYA JANATA PARTY,OL,100000,2019-04-18,1647,0
BHARATIYA JANATA PARTY,OL,100000,2019-04-18,1647,0
BHARATIYA JANATA PARTY,OL,100000,2019-04-18,1647,0
BHARATIYA JANATA PARTY,OL,100000,2019-04-18,1647,0
BHARATIYA JANATA PARTY,OL,100000,2019-04-18,1647,0
BHARATIYA JANATA PARTY,OL,100000,2019-04-18,1647,0
BHARATIYA JANATA PARTY,OL,100000,2019-04-18,1647,0
BHARATIYA JANATA PARTY,OL,100000,2019-04-18,1647,0
BHARATIYA JANATA PARTY,OL,100000,2019-04-18,1647,0
BHARATIYA JANATA PARTY,OL,100000,2019-04-18,1647,0
BHARATIYA JANATA PARTY,OL,100000,2019-04-18,1647,0
BHARATIYA JANATA PARTY,OL,100000,2019-04-18,1647,0
BHARATIYA JANATA PARTY,OL,100000,2019-04-18,1647,0
