Name of the Political Party,Prefix,Denominations,Journal Date,local_node_id,Round
BHARATIYA JANATA PARTY,OC,10000000,2021-04-03,3743,9
BHARATIYA JANATA PARTY,OC,10000000,2021-04-03,3743,9
BHARATIYA JANATA PARTY,OC,10000000,2021-04-03,3743,9
BHARATIYA JANATA PARTY,OL,100000,2023-04-11,3541,20
BHARATIYA JANATA PARTY,OL,100000,2023-04-11,3541,20
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2023-04-10,3743,20
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2023-04-10,3743,20
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2023-04-10,3743,20
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2023-04-10,3743,20
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2023-04-10,3743,20
JANATA DAL ( SECULAR ),OC,10000000,2023-04-10,3538,20
JANATA DAL ( SECULAR ),OC,10000000,2023-04-10,3538,20
JANATA DAL ( SECULAR ),OC,10000000,2023-04-10,3538,20
JANATA DAL ( SECULAR ),OC,10000000,2023-04-10,3538,20
JANATA DAL ( SECULAR ),OC,10000000,2023-04-10,3538,20
BHARATIYA JANATA PARTY,OC,10000000,2023-11-18,3743,23
BHARATIYA JANATA PARTY,OC,10000000,2023-11-18,3743,23
