´ØID,kÖµ,ÂÖÀªÏµÊý
4,3,0.03350459845380794
9,2,0.588886130787264
2,2,0.33508247301265104
0,2,0.41707640152380304
8,2,0.5371863027745657
1,4,0.3077924857735512
5,2,0.8389249561541815
3,3,0.2173310194676302
6,2,
7,2,0.6270776208350634
