ego_id,sample_count,best_k,best_silhouette_score
0,347,2,0.3835393921253726
348,227,2,0.3342704613348305
414,159,2,0.31948323646046384
107,1045,4,0.25373972322388116
1684,792,3,0.37722358023491376
1912,755,2,0.2539047656085765
3437,547,2,0.4254695144721839
3980,59,2,0.38280561500861415
686,170,2,0.3938641841056752
698,66,3,0.4559721993474021
