Name of the Political Party,Prefix,Denominations,Journal Date,¶ÔÓ¦µÄlocal_node_id,Round
BHARATIYA JANATA PARTY,OC,10000000.0,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000.0,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000.0,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000.0,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000.0,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000.0,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000.0,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000.0,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000.0,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000.0,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000.0,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000.0,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000.0,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000.0,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000.0,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000.0,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000.0,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000.0,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000.0,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000.0,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000.0,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000.0,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000.0,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000.0,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000.0,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000.0,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000.0,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000.0,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000.0,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000.0,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000.0,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000.0,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000.0,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000.0,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000.0,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000.0,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000.0,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000.0,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000.0,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000.0,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000.0,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000.0,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000.0,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000.0,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000.0,2019-04-12,734,0
BHARATIYA JANATA PARTY,OC,10000000.0,2019-04-12,3440,0
