Name of the Political Party,Prefix,Denominations,Journal Date,对应的local_node_id,Round
BHARATIYA JANATA PARTY,OC,10000000,2019-04-15,2655,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-15,2655,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-15,2655,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-15,2655,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-15,2430,0
BHARATIYA JANATA PARTY,TL,1000000,2019-04-12,2118,0
BHARATIYA JANATA PARTY,TL,1000000,2019-04-12,2118,0
BHARATIYA JANATA PARTY,TL,1000000,2019-04-12,2118,0
BHARATIYA JANATA PARTY,TL,1000000,2019-04-12,2118,0
BHARATIYA JANATA PARTY,TL,1000000,2019-04-15,2430,0
BHARATIYA JANATA PARTY,TL,1000000,2019-04-15,2430,0
BHARATIYA JANATA PARTY,TL,1000000,2019-04-15,2430,0
BHARATIYA JANATA PARTY,TL,1000000,2019-04-15,2430,0
BHARATIYA JANATA PARTY,TL,1000000,2019-04-15,2430,0
BHARATIYA JANATA PARTY,TL,1000000,2019-04-17,2464,0
BHARATIYA JANATA PARTY,TL,1000000,2019-04-17,2464,0
BHARATIYA JANATA PARTY,TL,1000000,2019-04-18,2088,0
BHARATIYA JANATA PARTY,TL,1000000,2019-04-18,2088,0
BHARATIYA JANATA PARTY,TL,1000000,2019-04-18,2088,0
BHARATIYA JANATA PARTY,TL,1000000,2019-04-18,2088,0
BHARATIYA JANATA PARTY,TL,1000000,2019-04-18,2088,0
BHARATIYA JANATA PARTY,TL,1000000,2019-04-18,2563,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2019-04-16,2253,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2019-04-16,2253,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2019-04-16,2253,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2019-04-16,2253,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2019-04-16,2253,0
RASHTRIYA JANTA DAL,TL,1000000,2019-04-18,2563,0
BHARATIYA JANATA PARTY,TL,1000000,2019-04-18,2563,0
BHARATIYA JANATA PARTY,TL,1000000,2019-04-18,2563,0
BHARATIYA JANATA PARTY,TL,1000000,2019-04-18,2563,0
ALL INDIA TRINAMOOL CONGRESS,OC,10000000,2019-05-07,2253,1
ALL INDIA TRINAMOOL CONGRESS,OC,10000000,2019-05-07,2253,1
ALL INDIA TRINAMOOL CONGRESS,OC,10000000,2019-05-07,2253,1
ALL INDIA TRINAMOOL CONGRESS,OC,10000000,2019-05-07,2253,1
ALL INDIA TRINAMOOL CONGRESS,OC,10000000,2019-05-07,2253,1
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2019-05-07,2253,1
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2019-05-07,2253,1
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2019-05-07,2253,1
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2019-05-07,2253,1
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2019-05-07,2253,1
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2019-05-07,2253,1
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2019-05-07,2253,1
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2019-05-07,2253,1
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2019-05-07,2253,1
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2019-05-07,2253,1
ADYAKSHA SAMAJVADI PARTY,OC,10000000,2019-05-07,2253,1
ADYAKSHA SAMAJVADI PARTY,OC,10000000,2019-05-07,2253,1
ADYAKSHA SAMAJVADI PARTY,OC,10000000,2019-05-07,2253,1
ADYAKSHA SAMAJVADI PARTY,OC,10000000,2019-05-07,2253,1
ADYAKSHA SAMAJVADI PARTY,OC,10000000,2019-05-07,2253,1
ADYAKSHA SAMAJVADI PARTY,OC,10000000,2019-05-07,2253,1
ADYAKSHA SAMAJVADI PARTY,OC,10000000,2019-05-07,2253,1
ADYAKSHA SAMAJVADI PARTY,OC,10000000,2019-05-07,2253,1
ADYAKSHA SAMAJVADI PARTY,OC,10000000,2019-05-07,2253,1
ADYAKSHA SAMAJVADI PARTY,OC,10000000,2019-05-07,2253,1
BHARATIYA JANATA PARTY,OC,10000000,2019-05-06,2550,1
BHARATIYA JANATA PARTY,OC,10000000,2019-05-06,2550,1
