Name of the Political Party,Prefix,Denominations,Journal Date,对应的local_node_id,Round
BHARATIYA JANATA PARTY,OC,10000000,2019-04-20,3580,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-20,3580,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-20,3580,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-20,3580,0
BHARATIYA JANATA PARTY,OC,10000000,2019-05-09,3580,1
BHARATIYA JANATA PARTY,OC,10000000,2019-05-09,3580,1
BHARATIYA JANATA PARTY,OC,10000000,2019-05-09,3580,1
BHARATIYA JANATA PARTY,OC,10000000,2019-05-09,3580,1
BHARATIYA JANATA PARTY,OC,10000000,2019-05-09,3580,1
BHARATIYA JANATA PARTY,OC,10000000,2019-05-09,3580,1
BHARATIYA JANATA PARTY,OC,10000000,2019-05-09,3580,1
BHARATIYA JANATA PARTY,OC,10000000,2019-05-09,3580,1
BHARATIYA JANATA PARTY,OC,10000000,2019-05-09,3580,1
BHARATIYA JANATA PARTY,OC,10000000,2019-05-09,3580,1
BHARAT RASHTRA SAMITHI,TL,1000000,2022-04-08,3536,13
BHARAT RASHTRA SAMITHI,OL,100000,2022-04-08,3536,13
BHARAT RASHTRA SAMITHI,OL,100000,2022-04-08,3536,13
BHARAT RASHTRA SAMITHI,OL,100000,2022-04-08,3536,13
BHARAT RASHTRA SAMITHI,OL,100000,2022-04-08,3536,13
BHARAT RASHTRA SAMITHI,OL,100000,2022-04-08,3536,13
BHARAT RASHTRA SAMITHI,OL,100000,2022-04-08,3536,13
BHARAT RASHTRA SAMITHI,OL,100000,2022-04-08,3536,13
BHARAT RASHTRA SAMITHI,OL,100000,2022-04-08,3536,13
BHARAT RASHTRA SAMITHI,OL,100000,2022-04-08,3536,13
BHARAT RASHTRA SAMITHI,TT,10000,2022-04-08,3536,13
BHARAT RASHTRA SAMITHI,TT,10000,2022-04-08,3536,13
BHARAT RASHTRA SAMITHI,TT,10000,2022-04-08,3536,13
BHARAT RASHTRA SAMITHI,TT,10000,2022-04-08,3536,13
BHARAT RASHTRA SAMITHI,TT,10000,2022-04-08,3536,13
BHARAT RASHTRA SAMITHI,TT,10000,2022-04-08,3536,13
BHARAT RASHTRA SAMITHI,TT,10000,2022-04-08,3536,13
BHARAT RASHTRA SAMITHI,TT,10000,2022-04-08,3536,13
BHARAT RASHTRA SAMITHI,TT,10000,2022-04-08,3536,13
TELUGU DESAM PARTY,OC,10000000,2023-01-21,3863,18
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",TL,1000000,2023-10-05,3963,22
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",TL,1000000,2023-10-05,3963,22
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2023-10-05,3963,22
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2023-10-05,3963,22
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2023-10-05,3963,22
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2023-10-05,3963,22
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2023-10-05,3963,22
