Name of the Political Party,Prefix,Denominations,Journal Date,对应的local_node_id,Round
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2019-04-16,207,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-15,94,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-15,94,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-15,94,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-15,94,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-15,94,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-15,143,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-15,143,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-15,143,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-15,143,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-15,143,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,276,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,276,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,276,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,276,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,276,0
BHARATIYA JANATA PARTY,TL,1000000,2019-04-12,34,0
BHARATIYA JANATA PARTY,TL,1000000,2019-04-12,34,0
BHARATIYA JANATA PARTY,TL,1000000,2019-04-18,104,0
SHIROMANI AKALI DAL,TT,10000,2019-04-18,236,0
SHIROMANI AKALI DAL,TT,10000,2019-04-18,236,0
SHIROMANI AKALI DAL,TT,10000,2019-04-18,236,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-18,135,0
BHARATIYA JANATA PARTY,OT,1000,2019-04-16,135,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,207,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,207,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,207,0
BHARATIYA JANATA PARTY,TL,1000000,2019-04-18,13,0
BHARATIYA JANATA PARTY,TL,1000000,2019-04-18,13,0
BHARATIYA JANATA PARTY,TL,1000000,2019-04-18,13,0
BHARATIYA JANATA PARTY,TL,1000000,2019-04-18,13,0
BHARATIYA JANATA PARTY,TL,1000000,2019-04-18,13,0
BHARATIYA JANATA PARTY,TL,1000000,2019-04-12,203,0
BHARATIYA JANATA PARTY,TL,1000000,2019-04-12,203,0
BHARATIYA JANATA PARTY,TL,1000000,2019-04-12,203,0
BHARATIYA JANATA PARTY,OL,100000,2019-04-12,203,0
BHARATIYA JANATA PARTY,OL,100000,2019-04-12,203,0
BHARATIYA JANATA PARTY,OL,100000,2019-04-12,203,0
BHARATIYA JANATA PARTY,OL,100000,2019-04-12,203,0
BHARATIYA JANATA PARTY,OL,100000,2019-04-12,203,0
BHARATIYA JANATA PARTY,OL,100000,2019-04-12,203,0
BHARATIYA JANATA PARTY,OL,100000,2019-04-12,203,0
BHARATIYA JANATA PARTY,OL,100000,2019-04-12,203,0
BHARATIYA JANATA PARTY,OL,100000,2019-04-12,203,0
BHARATIYA JANATA PARTY,OL,100000,2019-04-12,203,0
SHIVSENA,OL,100000,2019-04-20,4041,0
SHIVSENA,OL,100000,2019-04-20,4041,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2019-05-06,340,1
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",TL,1000000,2019-05-06,340,1
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",TL,1000000,2019-05-06,340,1
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",TL,1000000,2019-05-06,340,1
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",TL,1000000,2019-05-06,340,1
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",TL,1000000,2019-05-06,340,1
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",TL,1000000,2019-05-06,340,1
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",TL,1000000,2019-05-06,340,1
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",TL,1000000,2019-05-06,340,1
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",TL,1000000,2019-05-06,340,1
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",TL,1000000,2019-05-06,340,1
NATIONALIST CONGRESS PARTY MAHARASHTRA PRADESH,TL,1000000,2019-05-07,11,1
NATIONALIST CONGRESS PARTY MAHARASHTRA PRADESH,TL,1000000,2019-05-07,11,1
NATIONALIST CONGRESS PARTY MAHARASHTRA PRADESH,TL,1000000,2019-05-07,11,1
NATIONALIST CONGRESS PARTY MAHARASHTRA PRADESH,TL,1000000,2019-05-07,11,1
NATIONALIST CONGRESS PARTY MAHARASHTRA PRADESH,TL,1000000,2019-05-07,11,1
NATIONALIST CONGRESS PARTY MAHARASHTRA PRADESH,TL,1000000,2019-05-07,11,1
NATIONALIST CONGRESS PARTY MAHARASHTRA PRADESH,TL,1000000,2019-05-07,11,1
NATIONALIST CONGRESS PARTY MAHARASHTRA PRADESH,TL,1000000,2019-05-07,11,1
NATIONALIST CONGRESS PARTY MAHARASHTRA PRADESH,TL,1000000,2019-05-07,11,1
